    ENTRY#        PC    TARGET      PRED      BUSY
       299    4224ac    4224b8         0         1
       300    42b4b0    42b4b8         0         1
       302    4264b8    4265b8         0         1
       303    4064bc    4176d0         0         1
       304    4174c0    4174f8         0         1
       305    4074c4    4074ec         3         1
       306    4064c8    4176d0         0         1
       308    4004d0    40049c         1         1
       309    4034d4    400200         0         1
       310    4244d8    420ba4         0         1
       311    4054dc    4054ec         0         1
       315    4074ec    407520         0         1
       316    4064f0    40677c         0         1
       318    4034f8    4034d0         1         1
       319    4224fc    420ce0         0         1
       320    403500    400218         0         1
       321    422504    422550         0         1
       322    405508    40598c         0         1
       323    40050c    400200         0         1
       324    417510    417614         0         1
       325    421514    420fe8         0         1
       327    42451c    424530         0         1
       328    42b520    42b538         0         1
       330    404528    4044d4         1         1
       331    40252c    4024f8         1         1
       333    42b534    42b524         1         1
       334    404538    4206c0         0         1
       335    42453c    424554         0         1
       336    400540    40050c         1         1
       337    42b544    42b42c         0         1
       338    407548    407564         3         1
       339    42454c    424564         0         1
       341    405554    4056fc         0         1
       342    421558    420f4c         0         1
       343    40155c    401528         1         1
       344    407560    407594         0         1
       346    401568    400200         0         1
       347    40356c    421c10         0         1
       350    424578    4245b4         0         1
       352    403580    422260         0         1
       353    421584    421af4         0         1
       354    409588    4094c0         1         1
       355    40358c    4206c0         0         1
       356    407590    4075d4         0         1
       359    41959c    4195a8         3         1
       360    4095a0    409620         0         1
       361    4225a4    422110         0         1
       362    4015a8    400200         0         1
       363    4025ac    402578         1         1
       364    4245b0    424588         0         1
       365    4215b4    421968         3         1
       366    4225b8    4225c8         0         1
       368    4265c0    426b38         0         1
       370    4265c8    4265ec         0         1
       371    4195cc    419814         0         1
       372    4215d0    4218f8         0         1
       374    4225d8    4225ec         0         1
       375    4155dc    4155ec         0         1
       379    4025ec    4025b8         1         1
       380    4265f0    421d40         0         1
       382    4025f8    400200         0         1
       384    424600    424640         0         1
       385    403604    421c10         0         1
       389    408614    408620         0         1
       391    40861c    408364         0         1
       392    422620    422680         0         1
       393    400624    400200         0         1
       394    403628    421c10         0         1
